iex(1)> RingLogger.attach
:ok
iex(2)> RingLogger.next

00:00:04.141 [info]  Booting Linux on physical CPU 0x0

00:00:04.142 [info]  Linux version 4.19.118 (nerves@8eb064424d90) (gcc version 9.2.0 (crosstool-NG 1.24.0.71-4fa0ba1)) #2 SMP PREEMPT Fri Oct 30 15:17:56 UTC 2020

00:00:04.142 [info]  CPU: ARMv7 Processor [410fd083] revision 3 (ARMv7), cr=30c5383d

00:00:04.142 [info]  CPU: div instructions available: patching division code

00:00:04.142 [info]  CPU: PIPT / VIPT nonaliasing data cache, PIPT instruction cache

00:00:04.142 [info]  OF: fdt: Machine model: Raspberry Pi 4 Model B Rev 1.4

00:00:04.142 [info]  Memory policy: Data cache writealloc

00:00:04.142 [error] OF: fdt: Reserved memory: unsupported node format, ignoring

00:00:04.142 [info]  cma: Reserved 64 MiB at 0x0000000030000000

00:00:04.142 [debug] On node 0 totalpages: 2031616

00:00:04.142 [debug]   DMA zone: 1728 pages used for memmap

00:00:04.142 [debug]   DMA zone: 0 pages reserved

00:00:04.142 [debug]   DMA zone: 196608 pages, LIFO batch:63

00:00:04.142 [debug]   HighMem zone: 1835008 pages, LIFO batch:63

00:00:04.142 [info]  random: get_random_bytes called from start_kernel+0xa8/0x440 with crng_init=0

00:00:04.143 [info]  percpu: Embedded 16 pages/cpu s34508 r8192 d22836 u65536

00:00:04.143 [debug] pcpu-alloc: s34508 r8192 d22836 u65536 alloc=16*4096

00:00:04.143 [debug] pcpu-alloc: [0] 0 [0] 1 [0] 2 [0] 3

00:00:04.143 [info]  Built 1 zonelists, mobility grouping on.  Total pages: 2029888

00:00:04.143 [info]  Kernel command line: coherent_pool=1M 8250.nr_uarts=1 cma=64M bcm2708_fb.fbwidth=0 bcm2708_fb.fbheight=0 bcm2708_fb.fbswap=1 smsc95xx.macaddr=DC:A6:32:C5:B7:87 vc_mem.mem_base=0x3ec00000 vc_mem.mem_size=0x40000000  dwc_otg.lpm_enable=0 console=tty1 console=ttyS0,115200 fbcon=scrollback:1024k root=/dev/mmcblk0p2 rootfstype=squashfs rootwait consoleblank=0

00:00:04.143 [info]  Dentry cache hash table entries: 131072 (order: 7, 524288 bytes)

00:00:04.143 [info]  Inode-cache hash table entries: 65536 (order: 6, 262144 bytes)

00:00:04.143 [info]  Memory: 7977232K/8126464K available (6144K kernel code, 384K rwdata, 1248K rodata, 2048K init, 411K bss, 83696K reserved, 65536K cma-reserved, 7274496K highmem)

00:00:04.143 [info]  Virtual kernel memory layout:\x0a    vector  : 0xffff0000 - 0xffff1000   (   4 kB)\x0a    fixmap  : 0xffc00000 - 0xfff00000   (3072 kB)\x0a    vmalloc : 0xf0800000 - 0xff800000   ( 240 MB)\x0a    lowmem  : 0xc0000000 - 0xf0000000   ( 768 MB)\x0a    pkmap   : 0xbfe00000 - 0xc0000000   (   2 MB)\x0a    modules : 0xbf000000 - 0xbfe00000   (  14 MB)\x0a      .text : 0x(ptrval) - 0x(ptrval)   (8160 kB)\x0a      .init : 0x(ptrval) - 0x(ptrval)   (2048 kB)\x0a      .data : 0x(ptrval) - 0x(ptrval)   ( 385 kB)\x0a       .bss : 0x(ptrval) - 0x(ptrval)   ( 412 kB)

00:00:04.143 [info]  SLUB: HWalign=64, Order=0-3, MinObjects=0, CPUs=4, Nodes=1

00:00:04.143 [info]  rcu: Preemptible hierarchical RCU implementation.

00:00:04.143 [info]  \x09Tasks RCU enabled.

00:00:04.144 [info]  NR_IRQS: 16, nr_irqs: 16, preallocated irqs: 16

00:00:04.144 [info]  GIC: Using split EOI/Deactivate mode

00:00:04.144 [info]  arch_timer: cp15 timer(s) running at 54.00MHz (phys).

00:00:04.144 [info]  clocksource: arch_sys_counter: mask: 0xffffffffffffff max_cycles: 0xc743ce346, max_idle_ns: 440795203123 ns

00:00:04.144 [info]  sched_clock: 56 bits at 54MHz, resolution 18ns, wraps every 4398046511102ns

00:00:04.144 [info]  Switching to timer-based delay loop, resolution 18ns

00:00:04.144 [info]  Console: colour dummy device 80x30

00:00:04.144 [info]  console [tty1] enabled

00:00:04.145 [info]  Calibrating delay loop (skipped), value calculated using timer frequency.. 108.00 BogoMIPS (lpj=540000)

00:00:04.145 [info]  pid_max: default: 32768 minimum: 301

00:00:04.145 [info]  Mount-cache hash table entries: 2048 (order: 1, 8192 bytes)

00:00:04.145 [info]  Mountpoint-cache hash table entries: 2048 (order: 1, 8192 bytes)

00:00:04.146 [info]  CPU: Testing write buffer coherency: ok

00:00:04.146 [info]  CPU0: thread -1, cpu 0, socket 0, mpidr 80000000

00:00:04.146 [info]  Setting up static identity map for 0x200000 - 0x20003c

00:00:04.146 [info]  rcu: Hierarchical SRCU implementation.

00:00:04.146 [info]  smp: Bringing up secondary CPUs ...

00:00:04.147 [info]  CPU1: thread -1, cpu 1, socket 0, mpidr 80000001

00:00:04.147 [info]  CPU2: thread -1, cpu 2, socket 0, mpidr 80000002

00:00:04.147 [info]  CPU3: thread -1, cpu 3, socket 0, mpidr 80000003

00:00:04.148 [info]  smp: Brought up 1 node, 4 CPUs

00:00:04.148 [info]  SMP: Total of 4 processors activated (432.00 BogoMIPS).

00:00:04.149 [info]  mount: mounting /dev/mmcblk0p3 on /root failed: Invalid argument

00:00:04.149 [info]  CPU: All CPU(s) started in HYP mode.

00:00:04.149 [info]  CPU: Virtualization extensions available.

00:00:04.150 [info]  devtmpfs: initialized

00:00:04.150 [info]  VFP support v0.3: implementor 41 architecture 3 part 40 variant 8 rev 0

00:00:04.150 [info]  clocksource: jiffies: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 19112604462750000 ns

00:00:04.150 [info]  futex hash table entries: 1024 (order: 4, 65536 bytes)

00:00:04.151 [info]  pinctrl core: initialized pinctrl subsystem

00:00:04.151 [info]  NET: Registered protocol family 16

00:00:04.151 [info]  DMA: preallocated 1024 KiB pool for atomic coherent allocations

00:00:04.151 [info]  Serial: AMBA PL011 UART driver

00:00:04.151 [info]  console [pstore-1] enabled

00:00:04.151 [info]  pstore: Registered ramoops as persistent store backend

00:00:04.151 [info]  ramoops: attached 0x100000@0xb000000, ecc: 16/0

00:00:04.151 [info]  bcm2835-mbox fe00b880.mailbox: mailbox enabled

00:00:04.151 [info]  raspberrypi-firmware soc:firmware: Attached to firmware from 2020-06-01 13:24, variant start_x

00:00:04.151 [info]  raspberrypi-firmware soc:firmware: Firmware hash is 6379679d1ec6a8c746d7e77e015f5b56b939976f

00:00:04.152 [info]  bcm2835-dma fe007000.dma: DMA legacy API manager at (ptrval), dmachans=0x1

00:00:04.152 [info]  vgaarb: loaded

00:00:04.152 [info]  SCSI subsystem initialized

00:00:04.152 [info]  usbcore: registered new interface driver usbfs

00:00:04.152 [info]  usbcore: registered new interface driver hub

00:00:04.153 [info]  usbcore: registered new device driver usb

00:00:04.153 [info]  clocksource: Switched to clocksource arch_sys_counter

00:00:04.153 [info]  NET: Registered protocol family 2

00:00:04.153 [info]  tcp_listen_portaddr_hash hash table entries: 512 (order: 0, 6144 bytes)

00:00:04.154 [info]  TCP established hash table entries: 8192 (order: 3, 32768 bytes)

00:00:04.154 [info]  TCP bind hash table entries: 8192 (order: 4, 65536 bytes)

00:00:04.154 [info]  TCP: Hash tables configured (established 8192 bind 8192)

00:00:04.154 [info]  UDP hash table entries: 512 (order: 2, 16384 bytes)

00:00:04.154 [info]  UDP-Lite hash table entries: 512 (order: 2, 16384 bytes)

00:00:04.155 [info]  NET: Registered protocol family 1

00:00:04.159 [debug] PCI: CLS 0 bytes, default 64

00:00:04.159 [info]  Initialise system trusted keyrings

00:00:04.160 [info]  workingset: timestamp_bits=14 max_order=21 bucket_order=7

00:00:04.160 [info]  squashfs: version 4.0 (2009/01/31) Phillip Lougher

00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 137/4096 bits entropy


00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 508/4096 bits entropy


00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 844/4096 bits entropy


00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 1149/4096 bits entropy


00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 1425/4096 bits entropy


00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 1676/4096 bits entropy


00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 1902/4096 bits entropy


00:00:04.160 [debug] Jan  1 00:00:04 rngd: Added 2108/4096 bits entropy


00:00:04.161 [debug] Jan  1 00:00:04 rngd: Added 2294/4096 bits entropy


00:00:04.161 [debug] Jan  1 00:00:04 rngd: Added 2463/4096 bits entropy


00:00:04.161 [debug] Jan  1 00:00:04 rngd: Added 2616/4096 bits entropy


00:00:04.162 [info]  Key type asymmetric registered

00:00:04.162 [info]  Asymmetric key parser 'x509' registered

00:00:04.162 [info]  bounce: pool size: 64 pages

00:00:04.162 [info]  Block layer SCSI generic (bsg) driver version 0.4 loaded (major 250)

00:00:04.162 [info]  io scheduler noop registered

00:00:04.163 [info]  io scheduler cfq registered (default)

00:00:04.163 [info]  brcm-pcie fd500000.pcie: dmabounce: initialised - 32768 kB, threshold 0x00000000c0000000

